"accession" "Gene.Name" "Protein.Name" "Organism.Source" "Taxonomy" "Gene.Name.description" "Pe" "SV"
"THBS4" "Q3SWW8" "THBS4" "Thrombospondin-4" "Bos taurus" "9913" "THBS4" "2" "1"
"CFD" "Q3T0A3" "CFD" "Complement factor D" "Bos taurus" "9913" "CFD" "2" "1"
"KRT19" "P08728" "KRT19" "Keratin. type I cytoskeletal 19" "Bos taurus" "9913" "KRT19" "2" "1"
"COL10A1" "P23206" "COL10A1" "Collagen alpha-1(X) chain" "Bos taurus" "9913" "COL10A1" "2" "1"
"KRT79" "Q148H7" "KRT79" "Keratin. type II cytoskeletal 79" "Bos taurus" "9913" "KRT79" "2" "1"
"HSP90AB1" "Q76LV1" "HSP90AB1" "Heat shock protein HSP 90-beta" "Bos taurus" "9913" "HSP90AB1" "2" "3"
"CSN1S1" "P02662" "CSN1S1" "Alpha-S1-casein" "Bos taurus" "9913" "CSN1S1" "1" "2"
"eNO1" "Q9XSJ4" "eNO1" "Alpha-enolase" "Bos taurus" "9913" "eNO1" "1" "4"
"KRT73" "A7YWK3" "KRT73" "Keratin. type II cytoskeletal 73" "Bos taurus" "9913" "KRT73" "2" "1"
"HSPA1B" "Q27965" "HSPA1B" "Heat shock 70 kDa protein 1B" "Bos taurus" "9913" "HSPA1B" "2" "1"
"FGB" "P02676" "FGB" "Fibrinogen beta chain" "Bos taurus" "9913" "FGB" "1" "2"
"ACTC1" "Q3ZC07" "ACTC1" "Actin. alpha cardiac muscle 1" "Bos taurus" "9913" "ACTC1" "1" "1"
"HSPA1A" "Q27975" "HSPA1A" "Heat shock 70 kDa protein 1A" "Bos taurus" "9913" "HSPA1A" "1" "2"
"F10" "P00743" "F10" "Coagulation factor X" "Bos taurus" "9913" "F10" "1" "1"
"MST1" "Q24K22" "MST1" "Hepatocyte growth factor-like protein" "Bos taurus" "9913" "MST1" "2" "1"
"PROS1" "P07224" "PROS1" "Vitamin K-dependent protein S" "Bos taurus" "9913" "PROS1" "1" "1"
"LYSM" "Q6B411" "LYSM" "Lysozyme C. milk isozyme" "Bos taurus" "9913" NA "2" "1"
"RAP1B" "P61223" "RAP1B" "Ras-related protein Rap-1b" "Bos taurus" "9913" "RAP1B" "2" "1"
"CFL1" "Q5e9F7" "CFL1" "Cofilin-1" "Bos taurus" "9913" "CFL1" "2" "3"
"APOC3" "P19035" "APOC3" "Apolipoprotein C-III" "Bos taurus" "9913" "APOC3" "1" "2"
"SPP2" "Q27967" "SPP2" "Secreted phosphoprotein 24" "Bos taurus" "9913" "SPP2" "1" "2"
"TAGLN2" "Q5e9F5" "TAGLN2" "Transgelin-2" "Bos taurus" "9913" "TAGLN2" "2" "3"
"PPIA" "P62935" "PPIA" "Peptidyl-prolyl cis-trans isomerase A" "Bos taurus" "9913" "PPIA" "1" "2"
"PGLYRP1" "Q8SPP7" "PGLYRP1" "Peptidoglycan recognition protein 1" "Bos taurus" "9913" "PGLYRP1" "1" "1"
"CDH5" "Q6URK6" "CDH5" "Cadherin-5" "Bos taurus" "9913" "CDH5" "2" "1"
"COL1A1" "P02453" "COL1A1" "Collagen alpha-1(I) chain" "Bos taurus" "9913" "COL1A1" "1" "3"
"COL2A1" "P02459" "COL2A1" "Collagen alpha-1(II) chain" "Bos taurus" "9913" "COL2A1" "1" "4"
"HMGB2" "P40673" "HMGB2" "High mobility group protein B2" "Bos taurus" "9913" "HMGB2" "1" "3"
"H2BC12" "Q2M2T1" "H2BC12" "Histone H2B type 1-K" "Bos taurus" "9913" "H2BC12" "1" "3"
"CPN1" "Q2KJ83" "CPN1" "Carboxypeptidase N catalytic chain" "Bos taurus" "9913" "CPN1" "2" "1"
"KRT17" "A1L595" "KRT17" "Keratin. type I cytoskeletal 17" "Bos taurus" "9913" "KRT17" "2" "1"
"H2B1" "P62808" "H2B1" "Histone H2B type 1" "Bos taurus" "9913" NA "1" "2"
"UBA52" "P63048" "UBA52" "Ubiquitin-ribosomal protein eL40 fusion protein" "Bos taurus" "9913" "UBA52" "1" "2"
"ACTA1" "P68138" "ACTA1" "Actin. alpha skeletal muscle" "Bos taurus" "9913" "ACTA1" "1" "1"
"PROC" "P00745" "PROC" "Vitamin K-dependent protein C (Fragment)" "Bos taurus" "9913" "PROC" "1" "1"
"KRT80" "A0JND2" "KRT80" "Keratin. type II cytoskeletal 80" "Bos taurus" "9913" "KRT80" "2" "1"
"AHCY" "Q3MHL4" "AHCY" "Adenosylhomocysteinase" "Bos taurus" "9913" "AHCY" "2" "3"
"GFAP" "Q28115" "GFAP" "Glial fibrillary acidic protein" "Bos taurus" "9913" "GFAP" "1" "2"
"RAP1A" "P62833" "RAP1A" "Ras-related protein Rap-1A" "Bos taurus" "9913" "RAP1A" "1" "1"
"LTF" "P24627" "LTF" "Lactotransferrin" "Bos taurus" "9913" "LTF" "1" "2"
"TPI1" "Q5e956" "TPI1" "Triosephosphate isomerase" "Bos taurus" "9913" "TPI1" "2" "3"
"TUBA4A" "P81948" "TUBA4A" "Tubulin alpha-4A chain" "Bos taurus" "9913" "TUBA4A" "1" "2"
"TBA1B" "P81947" "TBA1B" "Tubulin alpha-1B chain" "Bos taurus" "9913" NA "1" "2"
"SeRPINA6" "e1BF81" "SeRPINA6" "Corticosteroid-binding globulin" "Bos taurus" "9913" "SeRPINA6" "3" "1"
"F9" "P00741" "F9" "Coagulation factor IX" "Bos taurus" "9913" "F9" "1" "2"
"FMOD" "P13605" "FMOD" "Fibromodulin" "Bos taurus" "9913" "FMOD" "1" "2"
"CRYZL1" "Q59A28" "CRYZL1" "Quinone oxidoreductase-like protein 1" "Bos taurus" "9913" "CRYZL1" "2" "1"
"CRYZ" "O97764" "CRYZ" "Zeta-crystallin" "Bos taurus" "9913" "CRYZ" "2" "2"
"COL1A2" "P02465" "COL1A2" "Collagen alpha-2(I) chain" "Bos taurus" "9913" "COL1A2" "1" "2"
"KRT28" "Q148H6" "KRT28" "Keratin. type I cytoskeletal 28" "Bos taurus" "9913" "KRT28" "2" "1"
"HSPA8" "P19120" "HSPA8" "Heat shock cognate 71 kDa protein" "Bos taurus" "9913" "HSPA8" "1" "2"
"GPLD1" "P80109" "GPLD1" "Phosphatidylinositol-glycan-specific phospholipase D" "Bos taurus" "9913" "GPLD1" "1" "1"
"YWHAZ" "P63103" "YWHAZ" "14-3-3 protein zeta/delta" "Bos taurus" "9913" "YWHAZ" "1" "1"
"HSP90AA1" "Q76LV2" "HSP90AA1" "Heat shock protein HSP 90-alpha" "Bos taurus" "9913" "HSP90AA1" "1" "3"
"GDI2" "P50397" "GDI2" "Rab GDP dissociation inhibitor beta" "Bos taurus" "9913" "GDI2" "2" "3"
"LDHA" "P19858" "LDHA" "L-lactate dehydrogenase A chain" "Bos taurus" "9913" "LDHA" "2" "2"
"PRDX2" "Q9BGI3" "PRDX2" "Peroxiredoxin-2" "Bos taurus" "9913" "PRDX2" "2" "1"
"HSPA5" "Q0VCX2" "HSPA5" "endoplasmic reticulum chaperone BiP" "Bos taurus" "9913" "HSPA5" "2" "1"
"TRPC4" "P79100" "TRPC4" "Short transient receptor potential channel 4" "Bos taurus" "9913" "TRPC4" "2" "2"
"CST3" "P01035" "CST3" "Cystatin-C" "Bos taurus" "9913" "CST3" "1" "2"
"SeRPINA3-1" "Q9TTe1" "SeRPINA3-1" "Serpin A3-1" "Bos taurus" "9913" "SeRPINA3-1" "1" "3"
"TUBB5" "Q2KJD0" "TUBB5" "Tubulin beta-5 chain" "Bos taurus" "9913" "TUBB5" "1" "1"
"MDH1B" "A3KMX7" "MDH1B" "Putative malate dehydrogenase 1B" "Bos taurus" "9913" "MDH1B" "2" "1"
"YWHAe" "P62261" "YWHAe" "14-3-3 protein epsilon" "Bos taurus" "9913" "YWHAe" "2" "1"
"CALM" "P62157" "CALM" "Calmodulin" "Bos taurus" "9913" "CALM" "1" "2"
"GGH" "A7YWG4" "GGH" "Gamma-glutamyl hydrolase" "Bos taurus" "9913" "GGH" "2" "1"
"TXN" "O97680" "TXN" "Thioredoxin" "Bos taurus" "9913" "TXN" "3" "3"
"PSMA5" "Q5e987" "PSMA5" "Proteasome subunit alpha type-5" "Bos taurus" "9913" "PSMA5" "1" "1"
"NCAM1" "P31836" "NCAM1" "Neural cell adhesion molecule 1" "Bos taurus" "9913" "NCAM1" "1" "1"
"H4" "P62803" "H4" "Histone H4" "Bos taurus" "9913" NA "1" "2"
"PLA2G7" "Q28017" "PLA2G7" "Platelet-activating factor acetylhydrolase" "Bos taurus" "9913" "PLA2G7" "2" "1"
"F11" "Q5NTB3" "F11" "Coagulation factor XI" "Bos taurus" "9913" "F11" "1" "1"
"IGFBP2" "P13384" "IGFBP2" "Insulin-like growth factor-binding protein 2" "Bos taurus" "9913" "IGFBP2" "1" "2"
"CL43" "P42916" "CL43" "Collectin-43" "Bos taurus" "9913" "CL43" "1" "2"
"CKM" "Q9XSC6" "CKM" "Creatine kinase M-type" "Bos taurus" "9913" "CKM" "1" "2"
"CATHL4" "P33046" "CATHL4" "Cathelicidin-4" "Bos taurus" "9913" "CATHL4" "1" "1"
"OGN" "P19879" "OGN" "Mimecan" "Bos taurus" "9913" "OGN" "1" "3"
"RBP4" "P18902" "RBP4" "Retinol-binding protein 4" "Bos taurus" "9913" "RBP4" "1" "1"
"FGG" "P12799" "FGG" "Fibrinogen gamma-B chain" "Bos taurus" "9913" "FGG" "1" "1"
"H1-3" "A7MAZ5" "H1-3" "Histone H1.3" "Bos taurus" "9913" "H1-3" "1" "1"
"PFN1" "P02584" "PFN1" "Profilin-1" "Bos taurus" "9913" "PFN1" "1" "2"
"B2M" "P01888" "B2M" "Beta-2-microglobulin" "Bos taurus" "9913" "B2M" "1" "2"
"GARIN1B" "Q2KIP3" "GARIN1B" "Golgi-associated RAB2 interactor protein 1B" "Bos taurus" "9913" "GARIN1B" "2" "1"
"LDHB" "Q5e9B1" "LDHB" "L-lactate dehydrogenase B chain" "Bos taurus" "9913" "LDHB" "2" "4"
"BLVRB" "P52556" "BLVRB" "Flavin reductase (NADPH)" "Bos taurus" "9913" "BLVRB" "1" "2"
"FABP1" "P80425" "FABP1" "Fatty acid-binding protein. liver" "Bos taurus" "9913" "FABP1" "1" "1"
"GSTA1" "Q28035" "GSTA1" "Glutathione S-transferase A1" "Bos taurus" "9913" "GSTA1" "2" "3"
"TUBA8" "Q2HJB8" "TUBA8" "Tubulin alpha-8 chain" "Bos taurus" "9913" "TUBA8" "1" "1"
"GSTA2" "O18879" "GSTA2" "Glutathione S-transferase A2" "Bos taurus" "9913" "GSTA2" "2" "4"
"CATHL1" "P22226" "CATHL1" "Cathelicidin-1" "Bos taurus" "9913" "CATHL1" "1" "2"
"RAN" "Q3T054" "RAN" "GTP-binding nuclear protein Ran" "Bos taurus" "9913" "RAN" "2" "3"
"HMGB1" "P10103" "HMGB1" "High mobility group protein B1" "Bos taurus" "9913" "HMGB1" "1" "3"
"IGFBP3" "P20959" "IGFBP3" "Insulin-like growth factor-binding protein 3" "Bos taurus" "9913" "IGFBP3" "1" "3"
"H1-2" "P02253" "H1-2" "Histone H1.2" "Bos taurus" "9913" "H1-2" "1" "2"
"RPS25" "Q56JX5" "RPS25" "Small ribosomal subunit protein eS25" "Bos taurus" "9913" "RPS25" "2" "1"
"PF4" "P02777" "PF4" "Platelet factor 4" "Bos taurus" "9913" "PF4" "1" "1"
"HP20" "Q2KIT0" "HP20" "Protein HP-20 homolog" "Bos taurus" "9913" NA "2" "1"
"FAM124B" "A6QLD5" "FAM124B" "Protein FAM124B" "Bos taurus" "9913" "FAM124B" "2" "1"
"APOA4" "Q32PJ2" "APOA4" "Apolipoprotein A-IV" "Bos taurus" "9913" "APOA4" "2" "1"
"CORO1A" "Q92176" "CORO1A" "Coronin-1A" "Bos taurus" "9913" "CORO1A" "1" "3"
"CLIC1" "Q5e9B7" "CLIC1" "Chloride intracellular channel protein 1" "Bos taurus" "9913" "CLIC1" "2" "3"
"RGN" "Q9TTJ5" "RGN" "Regucalcin" "Bos taurus" "9913" "RGN" "2" "1"
"LGALS3BP" "A7e3W2" "LGALS3BP" "Galectin-3-binding protein" "Bos taurus" "9913" "LGALS3BP" "1" "1"
"CAP1" "Q3SYV4" "CAP1" "Adenylyl cyclase-associated protein 1" "Bos taurus" "9913" "CAP1" "2" "3"
"OMD" "O77742" "OMD" "Osteomodulin" "Bos taurus" "9913" "OMD" "1" "1"
"CD14" "Q95122" "CD14" "Monocyte differentiation antigen CD14" "Bos taurus" "9913" "CD14" "2" "2"
"PRDX6" "O77834" "PRDX6" "Peroxiredoxin-6" "Bos taurus" "9913" "PRDX6" "1" "3"
"CA2" "P00921" "CA2" "Carbonic anhydrase 2" "Bos taurus" "9913" "CA2" "1" "3"
"PPIe" "A4FV72" "PPIe" "Peptidyl-prolyl cis-trans isomerase e" "Bos taurus" "9913" "PPIe" "2" "1"
"PeBP1" "P13696" "PeBP1" "Phosphatidylethanolamine-binding protein 1" "Bos taurus" "9913" "PeBP1" "1" "2"
"MBL" "O02659" "MBL" "Mannose-binding protein C" "Bos taurus" "9913" "MBL" "2" "1"
"FTL" "O46415" "FTL" "Ferritin light chain" "Bos taurus" "9913" "FTL" "2" "3"
"HP252" "Q2KIU3" "HP252" "Protein HP-25 homolog 2" "Bos taurus" "9913" NA "2" "1"
"CAPNS1" "P13135" "CAPNS1" "Calpain small subunit 1" "Bos taurus" "9913" "CAPNS1" "2" "1"
"CATHL2" "P19660" "CATHL2" "Cathelicidin-2" "Bos taurus" "9913" "CATHL2" "1" "2"
"DSC1" "Q01107" "DSC1" "Desmocollin-1" "Bos taurus" "9913" "DSC1" "1" "1"
"APCS" "Q3T004" "APCS" "Serum amyloid P-component" "Bos taurus" "9913" "APCS" "2" "1"
"COLGALT1" "Reverse_sp|A5PK45|GT251_BOVIN" "COLGALT1" "Procollagen galactosyltransferase 1" "Bos taurus" "9913" "COLGALT1" "2" "1"
"CTSC" "Q3ZCJ8" "CTSC" "Dipeptidyl peptidase 1" "Bos taurus" "9913" "CTSC" "2" "1"
"HP251" "Q2KIX7" "HP251" "Protein HP-25 homolog 1" "Bos taurus" "9913" NA "1" "1"
"CDH1" "Q6R8F2" "CDH1" "Cadherin-1" "Bos taurus" "9913" "CDH1" "2" "1"
"ACTG2" "Q5e9B5" "ACTG2" "Actin. gamma-enteric smooth muscle" "Bos taurus" "9913" "ACTG2" "2" "1"
"ACTA2" "P62739" "ACTA2" "Actin. aortic smooth muscle" "Bos taurus" "9913" "ACTA2" "1" "1"
"RAC1" "P62998" "RAC1" "Ras-related C3 botulinum toxin substrate 1" "Bos taurus" "9913" "RAC1" "1" "1"
"ReG1" "P82943" "ReG1" "Regakine-1" "Bos taurus" "9913" NA "1" "2"
"KRT20" "A6QQQ9" "KRT20" "Keratin. type I cytoskeletal 20" "Bos taurus" "9913" "KRT20" "2" "2"
"JUP" "Q8SPJ1" "JUP" "Junction plakoglobin" "Bos taurus" "9913" "JUP" "2" "1"
"FeRMT3" "Q32LP0" "FeRMT3" "Fermitin family homolog 3" "Bos taurus" "9913" "FeRMT3" "2" "1"
"KRT222" "Q2KI75" "KRT222" "Keratin-like protein KRT222" "Bos taurus" "9913" "KRT222" "2" "1"
"PGK1" "Q3T0P6" "PGK1" "Phosphoglycerate kinase 1" "Bos taurus" "9913" "PGK1" "2" "3"
"ALDOB" "Q3T0S5" "ALDOB" "Fructose-bisphosphate aldolase B" "Bos taurus" "9913" "ALDOB" "2" "1"
"GSTP1" "P28801" "GSTP1" "Glutathione S-transferase P" "Bos taurus" "9913" "GSTP1" "1" "2"
"TUBB4B" "Q3MHM5" "TUBB4B" "Tubulin beta-4B chain" "Bos taurus" "9913" "TUBB4B" "1" "1"
"TUBB3" "Q2T9S0" "TUBB3" "Tubulin beta-3 chain" "Bos taurus" "9913" "TUBB3" "1" "1"
"PRDX1" "Q5e947" "PRDX1" "Peroxiredoxin-1" "Bos taurus" "9913" "PRDX1" "2" "1"
"TRAP1" "Q2TBI4" "TRAP1" "Heat shock protein 75 kDa. mitochondrial" "Bos taurus" "9913" "TRAP1" "2" "1"
"K2CA" "P04263" "K2CA" "Keratin. type II cytoskeletal 68 kDa. component IA (Fragment)" "Bos taurus" "9913" NA "2" "1"
"CSN1S2" "P02663" "CSN1S2" "Alpha-S2-casein" "Bos taurus" "9913" "CSN1S2" "1" "2"
"CHAD" "Q27972" "CHAD" "Chondroadherin" "Bos taurus" "9913" "CHAD" "1" "1"
"RAB1B" "Q2HJH2" "RAB1B" "Ras-related protein Rab-1B" "Bos taurus" "9913" "RAB1B" "2" "1"
"GTF2F2" "Reverse_sp|Q2T9L9|T2FB_BOVIN" "GTF2F2" "General transcription factor IIF subunit 2" "Bos taurus" "9913" "GTF2F2" "2" "1"
"RSU1" "Q5e9C0" "RSU1" "Ras suppressor protein 1" "Bos taurus" "9913" "RSU1" "2" "1"
"PPIC" "Q08e11" "PPIC" "Peptidyl-prolyl cis-trans isomerase C" "Bos taurus" "9913" "PPIC" "2" "1"
"MDH1" "Q3T145" "MDH1" "Malate dehydrogenase. cytoplasmic" "Bos taurus" "9913" "MDH1" "2" "3"
"eNO3" "Q3ZC09" "eNO3" "Beta-enolase" "Bos taurus" "9913" "eNO3" "2" "1"
"RCN3" "Q2KJ39" "RCN3" "Reticulocalbin-3" "Bos taurus" "9913" "RCN3" "2" "1"
"GH1" "P01246" "GH1" "Somatotropin" "Bos taurus" "9913" "GH1" "1" "1"
"PSMA4" "Q3ZCK9" "PSMA4" "Proteasome subunit alpha type-4" "Bos taurus" "9913" "PSMA4" "1" "1"
"ARHGDIB" "Q9TU03" "ARHGDIB" "Rho GDP-dissociation inhibitor 2" "Bos taurus" "9913" "ARHGDIB" "2" "3"
"COLeC11" "Q17QH6" "COLeC11" "Collectin-11" "Bos taurus" "9913" "COLeC11" "2" "1"
"RAB8B" "Q2HJI8" "RAB8B" "Ras-related protein Rab-8B" "Bos taurus" "9913" "RAB8B" "2" "1"
"RAC2" "Q9TU25" "RAC2" "Ras-related C3 botulinum toxin substrate 2" "Bos taurus" "9913" "RAC2" "2" "1"
"SeRGeF" "Q3MHW0" "SeRGeF" "Secretion-regulating guanine nucleotide exchange factor" "Bos taurus" "9913" "SeRGeF" "2" "1"
"PTGDS" "O02853" "PTGDS" "Prostaglandin-H2 D-isomerase" "Bos taurus" "9913" "PTGDS" "1" "1"
"CUTA" "P69678" "CUTA" "Protein CutA" "Bos taurus" "9913" "CUTA" "1" "1"
"KRT4" "P19013" "KRT4" "Keratin. type II cytoskeletal 4" "Homo sapiens" "9606" "KRT4" "1" "5"
"TPM2" "Q5KR48" "TPM2" "Tropomyosin beta chain" "Bos taurus" "9913" "TPM2" "2" "1"
"P23528" "P23528" "P23528" "Cofilin-1" "Homo sapiens" "9606" "CFL1" "1" "3"
"ACTN2" "Q3ZC55" "ACTN2" "Alpha-actinin-2" "Bos taurus" "9913" "ACTN2" "2" "1"
"ACTN1" "Q3B7N2" "ACTN1" "Alpha-actinin-1" "Bos taurus" "9913" "ACTN1" "2" "1"
"ACTN4" "A5D7D1" "ACTN4" "Alpha-actinin-4" "Bos taurus" "9913" "ACTN4" "2" "1"
