"accession" "Gene.Name" "Protein.Name" "Organism.Source" "Taxonomy" "Gene.Name.description" "Pe" "SV"
"ANXA2" "P04272" "ANXA2" "Annexin A2" "Bos taurus" "9913" "ANXA2" "1" "2"
"VASP" "Q2TA49" "VASP" "Vasodilator-stimulated phosphoprotein" "Bos taurus" "9913" "VASP" "2" "3"
"FGA" "P02672" "FGA" "Fibrinogen alpha chain" "Bos taurus" "9913" "FGA" "1" "5"
"HRG" "P33433" "HRG" "Histidine-rich glycoprotein (Fragment)" "Bos taurus" "9913" "HRG" "1" "1"
"PFN1" "P02584" "PFN1" "Profilin-1" "Bos taurus" "9913" "PFN1" "1" "2"
"APOe" "Q03247" "APOe" "Apolipoprotein e" "Bos taurus" "9913" "APOe" "1" "1"
"CPN1" "Q2KJ83" "CPN1" "Carboxypeptidase N catalytic chain" "Bos taurus" "9913" "CPN1" "2" "1"
"APOH" "P17690" "APOH" "Beta-2-glycoprotein 1" "Bos taurus" "9913" "APOH" "1" "4"
"KNG2" "P01045" "KNG2" "Kininogen-2" "Bos taurus" "9913" "KNG2" "1" "1"
"CLeC3B" "Q2KIS7" "CLeC3B" "Tetranectin" "Bos taurus" "9913" "CLeC3B" "2" "1"
"DDBX" "P52898" "DDBX" "Dihydrodiol dehydrogenase 3" "Bos taurus" "9913" NA "2" "1"
"FGG" "P12799" "FGG" "Fibrinogen gamma-B chain" "Bos taurus" "9913" "FGG" "1" "1"
"HSP90AA1" "Q76LV2" "HSP90AA1" "Heat shock protein HSP 90-alpha" "Bos taurus" "9913" "HSP90AA1" "1" "3"
"SeRPINA3-5" "A2I7N1" "SeRPINA3-5" "Serpin A3-5" "Bos taurus" "9913" "SeRPINA3-5" "3" "1"
"F9" "P00741" "F9" "Coagulation factor IX" "Bos taurus" "9913" "F9" "1" "2"
"SeRPINA3-6" "A2I7N2" "SeRPINA3-6" "Serpin A3-6" "Bos taurus" "9913" "SeRPINA3-6" "3" "1"
"RAP1B" "P61223" "RAP1B" "Ras-related protein Rap-1b" "Bos taurus" "9913" "RAP1B" "2" "1"
"F13A1" "P12260" "F13A1" "Coagulation factor XIII A chain (Fragment)" "Bos taurus" "9913" "F13A1" "1" "2"
"CLU" "P17697" "CLU" "Clusterin" "Bos taurus" "9913" "CLU" "1" "1"
"LDHB" "Q5e9B1" "LDHB" "L-lactate dehydrogenase B chain" "Bos taurus" "9913" "LDHB" "2" "4"
"VNN1" "Q58CQ9" "VNN1" "Pantetheinase" "Bos taurus" "9913" "VNN1" "1" "1"
"F10" "P00743" "F10" "Coagulation factor X" "Bos taurus" "9913" "F10" "1" "1"
"TGFBI" "P55906" "TGFBI" "Transforming growth factor-beta-induced protein ig-h3" "Bos taurus" "9913" "TGFBI" "1" "2"
"C9" "Q3MHN2" "C9" "Complement component C9" "Bos taurus" "9913" "C9" "2" "1"
"THBS1" "Q28178" "THBS1" "Thrombospondin-1" "Bos taurus" "9913" "THBS1" "2" "2"
"COL10A1" "P23206" "COL10A1" "Collagen alpha-1(X) chain" "Bos taurus" "9913" "COL10A1" "2" "1"
"P02070" "P02070" "P02070" "Hemoglobin subunit beta" "Bos taurus" "9913" "HBB" "1" "1"
"PLG" "P06868" "PLG" "Plasminogen" "Bos taurus" "9913" "PLG" "1" "2"
"KLKB1" "Q2KJ63" "KLKB1" "Plasma kallikrein" "Bos taurus" "9913" "KLKB1" "2" "1"
"ITIH1" "Q0VCM5" "ITIH1" "Inter-alpha-trypsin inhibitor heavy chain H1" "Bos taurus" "9913" "ITIH1" "1" "1"
"TUBB5" "Q2KJD0" "TUBB5" "Tubulin beta-5 chain" "Bos taurus" "9913" "TUBB5" "1" "1"
"APOD" "Q32KY0" "APOD" "Apolipoprotein D" "Bos taurus" "9913" "APOD" "2" "1"
"TAGLN2" "Q5e9F5" "TAGLN2" "Transgelin-2" "Bos taurus" "9913" "TAGLN2" "2" "3"
"ANXA5" "P81287" "ANXA5" "Annexin A5" "Bos taurus" "9913" "ANXA5" "1" "3"
"ARF1" "P84080" "ARF1" "ADP-ribosylation factor 1" "Bos taurus" "9913" "ARF1" "1" "2"
"RAB1B" "Q2HJH2" "RAB1B" "Ras-related protein Rab-1B" "Bos taurus" "9913" "RAB1B" "2" "1"
"HP20" "Q2KIT0" "HP20" "Protein HP-20 homolog" "Bos taurus" "9913" NA "2" "1"
"PROZ" "P00744" "PROZ" "Vitamin K-dependent protein Z" "Bos taurus" "9913" "PROZ" "1" "1"
"LDHA" "P19858" "LDHA" "L-lactate dehydrogenase A chain" "Bos taurus" "9913" "LDHA" "2" "2"
"COL1A2" "P02465" "COL1A2" "Collagen alpha-2(I) chain" "Bos taurus" "9913" "COL1A2" "1" "2"
"ACTG1" "P63258" "ACTG1" "Actin, cytoplasmic 2" "Bos taurus" "9913" "ACTG1" "1" "1"
"TUBB3" "Q2T9S0" "TUBB3" "Tubulin beta-3 chain" "Bos taurus" "9913" "TUBB3" "1" "1"
"YWHAQ" "Q3SZI4" "YWHAQ" "14-3-3 protein theta" "Bos taurus" "9913" "YWHAQ" "1" "1"
"LTF" "P24627" "LTF" "Lactotransferrin" "Bos taurus" "9913" "LTF" "1" "2"
"C4BPA" "Q28065" "C4BPA" "C4b-binding protein alpha chain" "Bos taurus" "9913" "C4BPA" "2" "1"
"YWHAZ" "P63103" "YWHAZ" "14-3-3 protein zeta/delta" "Bos taurus" "9913" "YWHAZ" "1" "1"
"PTGeS3" "Q3ZBF7" "PTGeS3" "Prostaglandin e synthase 3" "Bos taurus" "9913" "PTGeS3" "1" "1"
"APCS" "Q3T004" "APCS" "Serum amyloid P-component" "Bos taurus" "9913" "APCS" "2" "1"
"SLC2A3" "P58352" "SLC2A3" "Solute carrier family 2, facilitated glucose transporter member 3" "Bos taurus" "9913" "SLC2A3" "2" "1"
"MFAP4" "P55918" "MFAP4" "Microfibril-associated glycoprotein 4" "Bos taurus" "9913" "MFAP4" "1" "2"
"KRT80" "A0JND2" "KRT80" "Keratin, type II cytoskeletal 80" "Bos taurus" "9913" "KRT80" "2" "1"
"ANP32A" "P51122" "ANP32A" "Acidic leucine-rich nuclear phosphoprotein 32 family member A" "Bos taurus" "9913" "ANP32A" "1" "2"
"LYSM" "Q6B411" "LYSM" "Lysozyme C, milk isozyme" "Bos taurus" "9913" NA "2" "1"
"GFAP" "Q28115" "GFAP" "Glial fibrillary acidic protein" "Bos taurus" "9913" "GFAP" "1" "2"
"YWHAB" "P68250" "YWHAB" "14-3-3 protein beta/alpha" "Bos taurus" "9913" "YWHAB" "1" "2"
"KRT73" "A7YWK3" "KRT73" "Keratin, type II cytoskeletal 73" "Bos taurus" "9913" "KRT73" "2" "1"
"CAT" "P00432" "CAT" "Catalase" "Bos taurus" "9913" "CAT" "1" "3"
"PGK1" "Q3T0P6" "PGK1" "Phosphoglycerate kinase 1" "Bos taurus" "9913" "PGK1" "2" "3"
"BLVRB" "P52556" "BLVRB" "Flavin reductase (NADPH)" "Bos taurus" "9913" "BLVRB" "1" "2"
"HMGB2" "P40673" "HMGB2" "High mobility group protein B2" "Bos taurus" "9913" "HMGB2" "1" "3"
"PROC" "P00745" "PROC" "Vitamin K-dependent protein C (Fragment)" "Bos taurus" "9913" "PROC" "1" "1"
"F7" "P22457" "F7" "Coagulation factor VII" "Bos taurus" "9913" "F7" "1" "2"
"H2A1" "P0C0S9" "H2A1" "Histone H2A type 1" "Bos taurus" "9913" NA "1" "2"
"ILK" "Q3SWY2" "ILK" "Integrin-linked protein kinase" "Bos taurus" "9913" "ILK" "2" "1"
"JUP" "Q8SPJ1" "JUP" "Junction plakoglobin" "Bos taurus" "9913" "JUP" "2" "1"
"OLFML3" "Q0VCP3" "OLFML3" "Olfactomedin-like protein 3" "Bos taurus" "9913" "OLFML3" "2" "1"
"RPS27A" "P62992" "RPS27A" "Ubiquitin-ribosomal protein eS31 fusion protein" "Bos taurus" "9913" "RPS27A" "1" "2"
"H2AC20" "A1A4R1" "H2AC20" "Histone H2A type 2-C" "Bos taurus" "9913" "H2AC20" "2" "1"
"eeF1A2" "Q32PH8" "eeF1A2" "elongation factor 1-alpha 2" "Bos taurus" "9913" "eeF1A2" "2" "1"
"IGFBP3" "P20959" "IGFBP3" "Insulin-like growth factor-binding protein 3" "Bos taurus" "9913" "IGFBP3" "1" "3"
"RPLP0" "Q95140" "RPLP0" "Large ribosomal subunit protein uL10" "Bos taurus" "9913" "RPLP0" "2" "3"
"KRT79" "Q148H7" "KRT79" "Keratin, type II cytoskeletal 79" "Bos taurus" "9913" "KRT79" "2" "1"
"TUBB4B" "Q3MHM5" "TUBB4B" "Tubulin beta-4B chain" "Bos taurus" "9913" "TUBB4B" "1" "1"
"CTSL" "P25975" "CTSL" "Procathepsin L" "Bos taurus" "9913" "CTSL" "1" "3"
"RNASe4" "P15467" "RNASe4" "Ribonuclease 4" "Bos taurus" "9913" "RNASe4" "1" "5"
"C1QA" "Q5e9e3" "C1QA" "Complement C1q subcomponent subunit A" "Bos taurus" "9913" "C1QA" "2" "1"
"F11R" "Q9XT56" "F11R" "Junctional adhesion molecule A" "Bos taurus" "9913" "F11R" "2" "1"
"APOC3" "P19035" "APOC3" "Apolipoprotein C-III" "Bos taurus" "9913" "APOC3" "1" "2"
"CDH1" "Q6R8F2" "CDH1" "Cadherin-1" "Bos taurus" "9913" "CDH1" "2" "1"
"IGF2" "P07456" "IGF2" "Insulin-like growth factor II" "Bos taurus" "9913" "IGF2" "1" "4"
"KRT8" "P05786" "KRT8" "Keratin, type II cytoskeletal 8" "Bos taurus" "9913" "KRT8" "2" "3"
"VCP" "Q3ZBT1" "VCP" "Transitional endoplasmic reticulum ATPase" "Bos taurus" "9913" "VCP" "2" "1"
"HSPA1L" "P0CB32" "HSPA1L" "Heat shock 70 kDa protein 1-like" "Bos taurus" "9913" "HSPA1L" "3" "1"
"YWHAe" "P62261" "YWHAe" "14-3-3 protein epsilon" "Bos taurus" "9913" "YWHAe" "2" "1"
"MAPRe2" "Q3SZP2" "MAPRe2" "Microtubule-associated protein RP/eB family member 2" "Bos taurus" "9913" "MAPRe2" "2" "1"
"P62808" "P62808" "P62808" "Histone H2B type 1" "Bos taurus" "9913" NA "1" "2"
"FN1" "P07589" "FN1" "Fibronectin" "Bos taurus" "9913" "FN1" "1" "4"
"BPT2" "P04815" "BPT2" "Spleen trypsin inhibitor I" "Bos taurus" "9913" NA "1" "2"
"IGFBP2" "P13384" "IGFBP2" "Insulin-like growth factor-binding protein 2" "Bos taurus" "9913" "IGFBP2" "1" "2"
"CHI3L1" "P30922" "CHI3L1" "Chitinase-3-like protein 1" "Bos taurus" "9913" "CHI3L1" "1" "3"
"HSPA1A" "Q27975" "HSPA1A" "Heat shock 70 kDa protein 1A" "Bos taurus" "9913" "HSPA1A" "1" "2"
"SULT1e1" "P19217" "SULT1e1" "Sulfotransferase 1e1" "Bos taurus" "9913" "SULT1e1" "1" "1"
"ANXA1" "P46193" "ANXA1" "Annexin A1" "Bos taurus" "9913" "ANXA1" "1" "2"
"CLIC1" "Q5e9B7" "CLIC1" "Chloride intracellular channel protein 1" "Bos taurus" "9913" "CLIC1" "2" "3"
"CPB2" "Q2KIG3" "CPB2" "Carboxypeptidase B2" "Bos taurus" "9913" "CPB2" "1" "1"
"APOC4" "Q3SYR5" "APOC4" "Apolipoprotein C-IV" "Bos taurus" "9913" "APOC4" "2" "1"
"HP" "Q2TBU0" "HP" "Haptoglobin" "Bos taurus" "9913" "HP" "2" "1"
"AHCY" "Q3MHL4" "AHCY" "Adenosylhomocysteinase" "Bos taurus" "9913" "AHCY" "2" "3"
"NAP1L4" "Q2TA40" "NAP1L4" "Nucleosome assembly protein 1-like 4" "Bos taurus" "9913" "NAP1L4" "2" "1"
"THBS4" "Q3SWW8" "THBS4" "Thrombospondin-4" "Bos taurus" "9913" "THBS4" "2" "1"
"HSP90B1" "Q95M18" "HSP90B1" "endoplasmin" "Bos taurus" "9913" "HSP90B1" "2" "1"
"CHIA" "Q95M17" "CHIA" "Acidic mammalian chitinase" "Bos taurus" "9913" "CHIA" "1" "1"
"H1-3" "A7MAZ5" "H1-3" "Histone H1.3" "Bos taurus" "9913" "H1-3" "1" "1"
"ARG1" "Q2KJ64" "ARG1" "Arginase-1" "Bos taurus" "9913" "ARG1" "2" "1"
"COL1A1" "P02453" "COL1A1" "Collagen alpha-1(I) chain" "Bos taurus" "9913" "COL1A1" "1" "3"
"ANXA11" "P27214" "ANXA11" "Annexin A11" "Bos taurus" "9913" "ANXA11" "1" "1"
"CDH5" "Q6URK6" "CDH5" "Cadherin-5" "Bos taurus" "9913" "CDH5" "2" "1"
"CFH" "Q28085" "CFH" "Complement factor H" "Bos taurus" "9913" "CFH" "1" "3"
"HSPA1B" "Q27965" "HSPA1B" "Heat shock 70 kDa protein 1B" "Bos taurus" "9913" "HSPA1B" "2" "1"
"HABP2" "Q5e9Z2" "HABP2" "Hyaluronan-binding protein 2" "Bos taurus" "9913" "HABP2" "2" "1"
"KRT17" "A1L595" "KRT17" "Keratin, type I cytoskeletal 17" "Bos taurus" "9913" "KRT17" "2" "1"
"NAP1L1" "A6H767" "NAP1L1" "Nucleosome assembly protein 1-like 1" "Bos taurus" "9913" "NAP1L1" "2" "1"
"PRDX6" "O77834" "PRDX6" "Peroxiredoxin-6" "Bos taurus" "9913" "PRDX6" "1" "3"
"PPIA" "P62935" "PPIA" "Peptidyl-prolyl cis-trans isomerase A" "Bos taurus" "9913" "PPIA" "1" "2"
"CATHL1" "P22226" "CATHL1" "Cathelicidin-1" "Bos taurus" "9913" "CATHL1" "1" "2"
"FeRMT3" "Q32LP0" "FeRMT3" "Fermitin family homolog 3" "Bos taurus" "9913" "FeRMT3" "2" "1"
"RAC1" "P62998" "RAC1" "Ras-related C3 botulinum toxin substrate 1" "Bos taurus" "9913" "RAC1" "1" "1"
"KRT10" "P06394" "KRT10" "Keratin, type I cytoskeletal 10" "Bos taurus" "9913" "KRT10" "3" "1"
"MYL6" "P60661" "MYL6" "Myosin light polypeptide 6" "Bos taurus" "9913" "MYL6" "2" "2"
"HA1B" "P13753" "HA1B" "BOLA class I histocompatibility antigen, alpha chain BL3-7" "Bos taurus" "9913" NA "2" "1"
"RAB8A" "A4FV54" "RAB8A" "Ras-related protein Rab-8A" "Bos taurus" "9913" "RAB8A" "2" "1"
"F12" "P98140" "F12" "Coagulation factor XII" "Bos taurus" "9913" "F12" "1" "2"
"CSRP1" "Q3MHY1" "CSRP1" "Cysteine and glycine-rich protein 1" "Bos taurus" "9913" "CSRP1" "2" "3"
"NACA" "Q5e9A1" "NACA" "Nascent polypeptide-associated complex subunit alpha" "Bos taurus" "9913" "NACA" "1" "1"
"GGH" "A7YWG4" "GGH" "Gamma-glutamyl hydrolase" "Bos taurus" "9913" "GGH" "2" "1"
"KRT71" "Q148H5" "KRT71" "Keratin, type II cytoskeletal 71" "Bos taurus" "9913" "KRT71" "2" "1"
"B4GALT1" "P08037" "B4GALT1" "Beta-1,4-galactosyltransferase 1" "Bos taurus" "9913" "B4GALT1" "1" "3"
"CD9" "P30932" "CD9" "CD9 antigen" "Bos taurus" "9913" "CD9" "2" "2"
"RAB11B" "Q3MHP2" "RAB11B" "Ras-related protein Rab-11B" "Bos taurus" "9913" "RAB11B" "2" "3"
"RGN" "Q9TTJ5" "RGN" "Regucalcin" "Bos taurus" "9913" "RGN" "2" "1"
"CAPNS1" "P13135" "CAPNS1" "Calpain small subunit 1" "Bos taurus" "9913" "CAPNS1" "2" "1"
"C7" "Q29RQ1" "C7" "Complement component C7" "Bos taurus" "9913" "C7" "2" "1"
"HSP90AB1" "Q76LV1" "HSP90AB1" "Heat shock protein HSP 90-beta" "Bos taurus" "9913" "HSP90AB1" "2" "3"
"HMGB1" "P10103" "HMGB1" "High mobility group protein B1" "Bos taurus" "9913" "HMGB1" "1" "3"
"TRAP1" "Q2TBI4" "TRAP1" "Heat shock protein 75 kDa, mitochondrial" "Bos taurus" "9913" "TRAP1" "2" "1"
"YWHAH" "P68509" "YWHAH" "14-3-3 protein eta" "Bos taurus" "9913" "YWHAH" "1" "2"
"FTL" "O46415" "FTL" "Ferritin light chain" "Bos taurus" "9913" "FTL" "2" "3"
"PRDX2" "Q9BGI3" "PRDX2" "Peroxiredoxin-2" "Bos taurus" "9913" "PRDX2" "2" "1"
"CAP1" "Q3SYV4" "CAP1" "Adenylyl cyclase-associated protein 1" "Bos taurus" "9913" "CAP1" "2" "3"
"ARF4" "Q3SZF2" "ARF4" "ADP-ribosylation factor 4" "Bos taurus" "9913" "ARF4" "2" "3"
"KRT25" "Q0P5J4" "KRT25" "Keratin, type I cytoskeletal 25" "Bos taurus" "9913" "KRT25" "2" "1"
"MSN" "Q2HJ49" "MSN" "Moesin" "Bos taurus" "9913" "MSN" "2" "3"
"KRT27" "Q0P5J6" "KRT27" "Keratin, type I cytoskeletal 27" "Bos taurus" "9913" "KRT27" "2" "1"
"KRT19" "P08728" "KRT19" "Keratin, type I cytoskeletal 19" "Bos taurus" "9913" "KRT19" "2" "1"
"CATHL4" "P33046" "CATHL4" "Cathelicidin-4" "Bos taurus" "9913" "CATHL4" "1" "1"
"GDI1" "P21856" "GDI1" "Rab GDP dissociation inhibitor alpha" "Bos taurus" "9913" "GDI1" "1" "1"
"CTSD" "P80209" "CTSD" "Cathepsin D" "Bos taurus" "9913" "CTSD" "1" "2"
"GDI2" "P50397" "GDI2" "Rab GDP dissociation inhibitor beta" "Bos taurus" "9913" "GDI2" "2" "3"
"TIMP3" "P79121" "TIMP3" "Metalloproteinase inhibitor 3" "Bos taurus" "9913" "TIMP3" "2" "1"
"HP252" "Q2KIU3" "HP252" "Protein HP-25 homolog 2" "Bos taurus" "9913" NA "2" "1"
"KRT72" "Q148H8" "KRT72" "Keratin, type II cytoskeletal 72" "Bos taurus" "9913" "KRT72" "2" "1"
"PPIe" "A4FV72" "PPIe" "Peptidyl-prolyl cis-trans isomerase e" "Bos taurus" "9913" "PPIe" "2" "1"
"PeBP1" "P13696" "PeBP1" "Phosphatidylethanolamine-binding protein 1" "Bos taurus" "9913" "PeBP1" "1" "2"
"DSC1" "Q01107" "DSC1" "Desmocollin-1" "Bos taurus" "9913" "DSC1" "1" "1"
"KRT20" "A6QQQ9" "KRT20" "Keratin, type I cytoskeletal 20" "Bos taurus" "9913" "KRT20" "2" "2"
"CHAD" "Q27972" "CHAD" "Chondroadherin" "Bos taurus" "9913" "CHAD" "1" "1"
"CL43" "P42916" "CL43" "Collectin-43" "Bos taurus" "9913" "CL43" "1" "2"
"MYH10" "Q27991" "MYH10" "Myosin-10" "Bos taurus" "9913" "MYH10" "2" "2"
"LBP" "Q2TBI0" "LBP" "Lipopolysaccharide-binding protein" "Bos taurus" "9913" "LBP" "2" "1"
"eZR" "P31976" "eZR" "ezrin" "Bos taurus" "9913" "eZR" "1" "2"
"COMP" "P35445" "COMP" "Cartilage oligomeric matrix protein" "Bos taurus" "9913" "COMP" "1" "2"
"GSTP1" "P28801" "GSTP1" "Glutathione S-transferase P" "Bos taurus" "9913" "GSTP1" "1" "2"
"LGALS3BP" "A7e3W2" "LGALS3BP" "Galectin-3-binding protein" "Bos taurus" "9913" "LGALS3BP" "1" "1"
"AKR1A1" "Q3ZCJ2" "AKR1A1" "Aldo-keto reductase family 1 member A1" "Bos taurus" "9913" "AKR1A1" "2" "1"
