"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_15" "PEG_24h_D240_16"
"HSPA8" 0.9724227 1.3496327 1.0653801 0.1271975 0.91866875 0.4521116 NA NA 0.101539254 0.25025904 0.7988709 0.25025904
"KRT75" 0.6218101 0.45881426 0.55596566 0.32434154 0.58854675 0.6982436 0.101539254 0.14551294 NA 0.57398295 0.5275661 0.46554792
"APOC2" 0.47231245 1.1232445 0.22743917 0.7298163 1.4888573 1.5468302 NA 0.7298163 NA NA 0.22743917 0.22743917
"H4" 1.4434304 1.4434304 0.4962356 NA 1.7352688 1.4434304 NA NA NA 0.4962356 2.198895 NA
"TGM3" NA 0.061695576 0.061695576 NA 0.19674051 0.061695576 0.061695576 0.061695576 0.12460494 0.061695576 NA NA
"S100A9" 2.1622777 1.3173947 1.3173947 NA 0.44543982 0.67494285 NA NA 0.36458313 0.30316675 NA NA
"CAPN1" 0.7100153 0.6672472 0.38356638 NA 0.20781386 0.1694994 NA NA NA NA NA NA
"AFP" 5.053408 4.7411647 4.956621 3.841724 4.78096 4.7676644 2.013006 3.8640718 1.2961485 4.61048 5.8865237 5.698846
"TTR" 4.597576 4.345644 4.4325037 3.5708823 4.4325037 4.0933084 1.9040227 2.1841977 2.1841977 4.0234256 4.970352 3.5708823
"ACTA1" 1.1577444 NA NA NA 1.1577444 1.1577444 NA NA 0.39958727 0.90985334 NA 0.7988709
"GC" 3.9659228 3.920395 3.8305883 3.3752208 3.666594 3.9659228 1.2490547 1.9107172 1.6061535 3.8305883 3.9659228 3.920395
"AGT" 3.7424197 4.3333488 3.7424197 2.9902492 4.597576 3.7424197 1.6181829 1.9853826 2.243396 3.6773515 3.7424197 3.7424197
"MDH1B" NA 0.12979591 NA NA 0.08642566 0.08642566 0.08642566 0.08642566 0.08642566 0.08642566 NA NA
"TUBA1D" NA 2.1332858 NA NA 2.365116 1.8840315 0.12979591 NA NA NA 2.6643758 1.6853445
"A2M" 3.305266 2.8994195 3.3954163 1.7925436 2.4673686 1.9853826 0.6595869 0.9010782 1.1134889 2.9994476 2.8904512 2.5645113
"HPX" 3.305266 3.1783037 3.4565625 2.1695673 2.741106 3.549881 0.43548942 1.3120649 1.0511622 3.4565625 3.1783037 3.1783037
"SeRPINA5" 3.226686 3.0364542 3.226686 1.4043627 1.8707807 2.2885165 1.243882 1.6485 1.1478305 1.8707807 2.2734067 2.040885
"ACTB" 3.0831938 2.698282 3.1591063 1.9444218 3.4157043 2.981072 0.61435854 0.9408858 0.9543395 2.3962524 2.908409 2.334264
"F2" 3.0271707 2.9536662 3.7206306 1.7039585 2.8547833 3.365158 0.5958791 0.7782794 0.8492687 2.372873 2.8370724 2.4994519
"KNG1" 2.9536662 2.5156045 2.9536662 0.6865531 1.7542286 1.77332 0.44877183 1.0137241 0.7823788 1.6242187 1.8641782 1.6791685
"eNO1" 2.723917 2.5156045 3.7863011 0.56314766 1.741574 1.42661 0.7660378 0.32434154 0.7458222 1.5585859 2.0760968 1.2029264
"DSG1" 0.1324004 0.20503592 0.20781386 NA 0.20503592 0.25892544 NA NA 0.09395635 0.04231739 0.1428783 0.10662377
"SeRPINC1" 2.6559477 2.7325017 2.981072 1.9853826 2.5318315 2.4833732 1.1527817 1.8119009 1.7164392 2.8459177 2.981072 2.1695673
"PROS1" 2.6307805 2.4514372 2.4119291 1.3933158 2.4040818 2.1332858 0.27938128 0.72583795 0.8407719 1.7797134 1.7164392 2.2658782
"TUBA4A" 2.4673686 2.2136607 2.4355795 0.8535316 2.3962524 1.9107172 0.1324004 0.7782794 0.6218101 1.9580123 3.3752208 1.7797134
"TBA1B " 2.4434993 2.3496542 2.4040818 0.7458222 2.372873 1.8906798 0.12979591 0.599558 0.7906058 2.0760968 2.9445727 1.8906798
"H2BC12" 0.89670587 1.1527817 0.89670587 NA 1.5882127 0.54881656 NA NA NA NA 0.54881656 0.31522477
"A1BG" 2.334264 1.5234809 2.8725765 1.7861211 1.6121614 1.6853445 0.62554884 1.118361 0.93196833 2.040885 2.4753616 2.5075188
"GSN" 2.3189442 2.1477482 2.013006 1.1379621 0.99986184 1.1086283 0.67494285 0.7741895 0.7139573 1.5351286 1.837919 1.6121614
"FeTUB" 2.3036954 2.6812897 2.698282 1.4831331 2.1695673 2.1915379 1.3823195 1.4434304 0.59220874 2.6812897 2.3496542 2.2062693
"CFL1" 2.2062693 1.5351286 2.7325017 0.31825674 0.7179084 0.5381547 0.47570658 0.47570658 0.7906058 1.084491 2.2062693 0.31825674
"GAPDH" 2.198895 2.1768744 2.1768744 0.7741895 1.7605777 2.3573759 0.1561122 0.36458313 0.47231245 1.9174271 2.198895 1.5234809
"ORM1" 2.0549212 1.6668587 2.2359364 1.9174271 2.2359364 2.4673686 1.7925436 1.4043627 1.243882 1.9174271 2.3496542 1.9174271
"ITIH4" 2.040885 1.9376497 2.491403 0.21898961 1.2594359 0.59220874 0.032761455 0.20503592 1.0892961 0.6865531 0.89234364 0.42889392
"SeRPINF2" 1.9512093 1.8510184 1.8641782 1.3334582 1.2029264 1.3120649 0.6982436 1.5118864 0.54525447 1.8248799 1.6730065 2.0478952
"FGB" 1.9241524 2.5974934 1.9376497 0.57398295 2.2885165 2.1188898 0.08143401 0.35518944 0.08143401 2.3189442 5.053408 2.723917
"CFB" 1.8641782 2.0478952 1.6668587 0.6218101 1.1577444 1.3280914 0.39636838 0.48936105 0.6218101 1.8641782 1.6181829 1.4888573
"RBP4" 1.8444612 1.8444612 3.2461958 1.18273 1.8773985 3.2461958 1.4154608 0.25314116 0.65576994 2.6559477 3.2461958 2.74973
"SeRPINF1" 1.7861211 2.0760968 2.672823 1.4099054 2.672823 2.672823 0.7498466 1.2803419 1.831392 2.6307805 2.3265955 2.2658782
"SeRPINA3-4" 1.7542286 1.6977394 1.7542286 1.0941124 1.6977394 1.7542286 0.77010894 2.1332858 0.8535316 1.9991624 2.0690222 1.6363313
"AMBP" 1.6181829 1.3550494 1.7542286 1.0276828 1.7542286 1.2646441 0.22461617 0.29121923 0.22461617 1.1379621 1.6302679 1.22331
"AFM" 1.6061535 1.7227013 1.9308932 0.90985334 1.128139 1.5468302 0.37720942 0.6368165 0.5205476 1.6546056 2.1405087 1.8183827
"C4" 1.6001594 1.5061095 2.013006 0.8836491 1.5703957 1.3067472 0.33659554 0.936422 1.0941124 1.4547088 1.5941794 1.4945948
"SPP2" 1.3173947 1.9040227 1.9376497 0.5381547 1.9040227 1.9376497 0.19949937 0.19949937 0.2133888 2.040885 1.6546056 1.5351286
"APOA4" 2.243396 1.3933158 1.133045 NA 1.5409727 1.7989812 NA NA 0.28233063 0.68267405 1.6181829 0.68267405
"GALK1" 0.599558 0.59220874 0.599558 NA 0.34276497 0.2647363 NA 0.24165225 NA NA 0.43879855 0.11173177
"SeRPINA7" 1.2542391 1.6363313 1.6668587 0.566751 0.95884466 1.0941124 0.51356125 0.65576994 0.51356125 1.3173947 1.6668587 1.4945948
"LUM" 1.243882 0.95884466 0.95884466 0.3001696 1.0989399 1.0989399 0.3001696 0.42889392 0.5381547 1.0989399 1.243882 0.81970084
"F5" 1.1627185 1.2908678 1.1577444 0.455459 1.084491 1.18273 0.24738348 0.35518944 0.09900582 0.7458222 0.9815271 0.62554884
"eeF1A1" 1.1134889 0.89234364 0.9815271 0.10407865 1.1232445 0.36772883 0.24451458 0.24451458 0.2133888 0.17219532 0.65576994 0.51356125
"F12AI" 0.8879913 1.2181964 1.1232445 0.8238957 0.9815271 0.86637974 0.7538805 0.8492687 0.38356638 1.19786 0.9724227 1.0230191
"ADIPOQ" 0.79473364 0.79473364 0.79473364 1.1134889 0.79473364 1.19786 0.43879855 0.86637974 0.15345323 0.9952624 0.79473364 1.032357
"SeRPINA3-8" 0.733804 0.733804 0.8238957 0.33967674 0.43879855 0.733804 0.19398808 0.29419577 0.12979591 0.6519618 0.94536006 0.8323144
"MBL" NA 0.19124198 0.2705741 NA 0.42232883 0.19124198 NA NA 0.19124198 0.19124198 0.29419577 0.38356638
"ARF3" 2.758374 2.8018937 2.1841977 0.48251808 2.8018937 3.2072663 NA 0.30617094 0.30617094 1.0653801 1.4378109 1.9853826
"ITIH3" 1.0606298 1.1232445 1.7164392 0.3489629 0.9275249 0.46554792 NA 0.035142183 0.64816236 0.9010782 0.89670587 0.7538805
"PGLYRP1" 2.013006 2.083188 1.7352688 NA 1.3933158 1.3933158 NA NA 0.29121923 0.3708818 0.8323144 NA
"CSN1S1" 0.48936105 0.26765192 0.42560756 0.27938128 0.48936105 0.26765192 NA NA 0.11429453 0.42560756 0.13762724 0.13762724
"ANXA2" 1.1232445 0.62929606 0.53461695 0.09900582 1.3388374 1.1232445 NA NA 0.28528666 0.6982436 0.46217716 0.40281367
"VASP" 0.7298163 0.8365383 0.2647363 NA 0.17489755 0.08143401 NA NA NA 0.08893013 1.4043627 0.08893013
"FGA" 1.3933158 0.9906733 1.2594359 0.4421153 1.3280914 0.9054607 NA NA 0.11943793 1.0464447 2.0269132 1.2130947
"HRG" 0.4421153 0.61064565 0.61064565 0.054386854 0.24738348 0.4421153 NA NA 0.19124198 0.1428783 0.38356638 0.2618276
"PFN1" 3.4668355 2.9174187 2.7931497 0.6368165 2.7931497 2.7931497 0.3001696 0.3001696 1.1677041 2.7931497 4.2601724 2.1117163
"APOe" 3.4258833 2.8194427 2.7153523 2.4040818 3.1975894 3.4565625 0.36772883 1.041738 0.9678863 1.9648314 2.5809646 2.1622777
"CPN1" 3.1020408 3.1783037 3.0550852 0.35518944 1.228435 0.55955243 1.1232445 1.1777098 0.07646525 0.07646525 0.566751 0.20226443
"APOH" 2.981072 2.258367 2.8018937 1.77332 2.0690222 2.8018937 1.1527817 1.4434304 1.4434304 2.258367 2.6057863 2.459394
"KNG2" 2.7153523 2.2885165 2.9445727 0.56314766 1.2908678 1.243882 0.3520726 0.8535316 0.48251808 1.3442287 1.8444612 1.5176768
"CLeC3B" 2.3884413 2.3884413 1.8840315 0.95884466 1.4603674 1.8840315 0.2705741 0.48936105 0.48936105 1.5176768 2.8815036 2.311311
"DDBX" 2.311311 1.7542286 1.6730065 0.14551294 0.45881426 0.30316675 0.30316675 0.4996848 0.14551294 0.14551294 0.39958727 0.37720942
"FGG" 1.0892961 1.5585859 1.5585859 0.8749945 1.2908678 1.0137241 0.15080035 NA NA 1.837919 3.0179086 1.3388374
"HSP90AA1" 2.1188898 2.0690222 1.77332 0.47570658 2.4673686 1.9107172 0.3273945 0.55596566 0.1271975 1.8575904 1.4660394 1.4154608
"SeRPINA3-5" 1.3442287 1.2130947 1.5061095 0.914256 1.084491 1.2542391 NA 1.9512093 NA 1.2130947 1.0370419 1.2542391
"F9" 1.5292981 2.040885 1.9922645 1.3933158 1.6302679 1.9922645 0.3614447 0.43879855 0.4962356 1.4660394 1.228435 1.4154608
"SeRPINA3-6" 1.4603674 1.2908678 1.4603674 0.9724227 1.2908678 1.3442287 0.61435854 1.8444612 0.5776112 1.2908678 1.3442287 1.2387211
"RAP1B" 1.3442287 3.3752208 3.3752208 0.89234364 1.3442287 2.0478952 0.89234364 0.40281367 0.40281367 0.9408858 1.5585859 2.1260793
"F13A1" 1.3120649 1.8510184 1.4490633 0.70608246 0.70608246 1.0558906 0.8113401 0.8113401 1.1037784 1.1037784 2.4673686 0.98609483
"CLU" 1.2335722 0.99986184 0.99986184 0.27938128 0.68267405 1.1037784 0.15345323 0.2133888 0.25314116 0.99986184 0.8749945 0.552387
"LDHB" 1.22331 0.4521116 1.2542391 0.40281367 0.58854675 0.6672472 0.10917485 0.27350307 0.27350307 0.31825674 0.90985334 0.2647363
"VNN1" 1.1727014 1.1134889 1.1086283 0.48936105 0.67880404 0.7741895 0.24165225 0.2705741 0.22461617 0.8492687 0.9678863 0.9678863
"F10" 1.0749135 1.2490547 1.5527012 0.68267405 1.3227367 1.4434304 0.15080035 0.5958791 0.16680968 0.8281002 0.94536006 0.8793168
"TGFBI" 0.7458222 0.43548942 0.36458313 0.13762724 0.06659615 0.11429453 0.38675582 0.6519618 0.1324004 0.19124198 0.58124804 0.3273945
"C9" 0.6982436 0.65576994 0.58854675 0.20226443 0.44877183 0.58854675 0.1428783 0.5100801 0.2647363 0.30918193 0.7498466 0.58854675
"THBS1" 0.55955243 0.5170504 0.552387 0.018591404 0.22743917 0.18032062 0.044720173 0.14815366 0.16412604 0.18032062 0.22461617 0.27938128
"COL10A1" 0.4421153 0.31825674 0.31825674 0.27350307 0.33659554 0.31825674 0.18576872 0.18576872 0.096478224 0.31825674 0.31825674 0.25602996
"P02070" 3.897788 3.0457587 3.0457587 1.3550494 3.897788 3.897788 NA 1.3550494 1.3550494 5.6221647 4.382698 2.8547833
"PLG" 3.1879354 2.8547833 3.7424197 0.8238957 2.1188898 3.3954163 NA 0.06414306 0.33967674 3.4771328 3.14954 2.0478952
"KLKB1" 0.733804 0.8492687 0.7864876 0.11943793 0.25025904 0.32129562 NA 0.06659615 0.25025904 0.31522477 0.6672472 0.5275661
"ITIH1" 0.6904409 0.43879855 0.9543395 0.1561122 0.3708818 0.3489629 NA NA 0.37404191 0.4421153 0.3273945 0.3520726
"TUBB5" 1.7227013 1.1677041 0.8749945 0.19949937 1.3388374 0.4996848 NA NA 0.054386854 0.31522477 2.3806486 1.4154608
"APOD" 1.5234809 1.2080047 1.8840315 0.27643883 1.5234809 2.3036954 NA NA 0.1561122 1.2080047 1.2080047 0.9054607
"TAGLN2" 3.008667 3.446313 3.446313 0.23026884 0.39958727 0.29121923 0.5703628 1.3014419 0.5703628 NA 0.74180686 0.23026884
"ANXA5" 1.0183663 0.59220874 1.3988328 0.67494285 1.2490547 0.9769696 NA NA 0.15345323 1.1677041 0.4927944 0.62929606
"ARF1" 2.758374 2.8018937 2.1841977 0.48251808 2.8018937 3.841724 0.599558 0.30617094 0.30617094 1.0653801 1.4378109 NA
"RAB1B" 2.040885 1.1037784 1.5292981 0.24451458 0.9906733 1.0558906 0.24451458 0.24451458 NA NA 1.0796967 NA
"HP20" 1.2961485 0.9633602 1.4378109 0.58124804 0.89234364 0.8281002 NA NA NA 0.8281002 0.98609483 0.64058983
"PROZ" 0.4859357 0.70608246 0.7660378 0.4421153 0.8836491 0.98609483 0.2705741 0.2705741 0.10407865 0.40928876 0.9498446 0.72583795
"LDHA" 1.6424088 1.0989399 1.6607251 0.12460494 0.8281002 1.084491 NA NA NA NA 0.3273945 NA
"COL1A2" 0.10917485 0.054386854 0.11943793 0.032761455 0.12979591 0.101539254 0.06659615 0.06659615 0.06659615 0.101539254 0.18304157 0.10407865
"ACTG1" 3.0831938 2.698282 3.1591063 1.9444218 3.4157043 2.981072 0.61435854 0.9408858 0.9543395 2.3962524 2.908409 2.334264
"TUBB3" 0.7660378 0.6595869 0.5275661 0.20226443 1.1232445 0.62554884 NA NA 0.0519619 0.29121923 1.2908678 0.8749945
"YWHAQ" 1.1428905 1.1232445 1.1428905 0.23026884 0.8071741 0.40281367 NA NA NA 0.41579378 NA 0.31219995
"LTF" 0.7619761 0.70608246 0.4689263 0.2647363 1.8707807 2.0338912 NA NA 0.04231739 0.58854675 1.032357 0.7823788
"C4BPA" 0.89234364 0.86208713 0.68267405 0.04712856 0.8238957 0.81551564 NA NA NA NA 0.5958791 0.566751
"YWHAZ" 1.8906798 1.243882 1.4434304 0.64437175 1.4434304 1.4434304 0.31219995 0.41579378 0.42889392 1.8119009 1.3067472 1.7101917
"PTGeS3" 0.5417005 0.20503592 0.5417005 NA 0.5417005 0.7021586 NA NA NA NA 0.5417005 0.5417005
"APCS" 0.70608246 0.5703628 0.52405274 0.34586036 1.4434304 1.1627185 NA NA NA 1.18273 1.6302679 0.90985334
"SLC2A3" 0.071519256 0.15080035 0.071519256 0.04231739 0.071519256 0.071519256 NA NA NA 0.1561122 0.071519256 0.04231739
"MFAP4" 0.17760599 0.24165225 0.17760599 0.17760599 0.32434154 0.24165225 NA NA NA 0.31219995 0.5848932 0.48936105
"KRT80" 0.19674051 0.17760599 0.11429453 0.11429453 0.7538805 0.17760599 NA NA NA 0.15877736 0.11429453 0.11429453
"ANP32A" NA NA NA NA 0.15877736 0.31825674 NA NA NA NA 0.58854675 NA
"LYSM" 0.32434154 0.32434154 0.32434154 0.38675582 0.32434154 0.32434154 NA NA 0.20503592 0.32434154 0.20503592 0.20503592
"GFAP" 0.30918193 0.19398808 0.25314116 0.23310483 0.19398808 0.5310875 NA NA 0.15080035 0.32129562 0.21898961 0.33659554
"YWHAB" 0.99986184 0.6904409 0.8535316 0.31219995 0.81970084 0.41253757 NA NA NA 0.6904409 0.7864876 0.31219995
"KRT73" 0.4421153 0.4927944 0.20226443 0.16680968 0.5381547 0.34276497 NA 0.1561122 NA 0.25314116 0.20226443 0.1614486
"CAT" 1.3768401 2.4753616 1.5585859 0.31219995 1.9308932 1.4945948 0.096478224 0.17489755 NA 1.7797134 1.8183827 1.3659198
"PGK1" 1.3388374 1.3933158 1.2029264 0.10407865 0.8749945 1.1527817 0.10407865 NA NA 0.6519618 0.7579236 0.3335215
"BLVRB" 2.2734067 3.325138 3.7863011 0.6710906 1.8248799 1.9922645 0.7298163 0.8492687 0.18304157 1.0230191 1.0230191 0.599558
"HMGB2" 1.0464447 0.8113401 0.8749945 0.15345323 0.936422 1.1134889 NA NA NA 0.7741895 0.5703628 0.552387
"PROC" 1.4210291 1.9922645 1.8906798 0.64816236 2.1915379 1.9444218 0.29419577 0.74180686 0.24165225 1.2335722 1.4547088 1.5351286
"F7" 0.6982436 0.633052 0.47231245 0.12460494 0.54881656 0.47910845 NA NA NA 0.22743917 0.26765192 0.24165225
"H2A1" 0.8578044 0.64058983 0.8578044 0.39958727 1.6001594 0.8578044 0.39958727 0.39958727 0.39958727 NA NA 0.39958727
"ILK" 0.45881426 0.5100801 0.42889392 NA 0.24451458 0.14815366 NA NA NA NA 0.37720942 NA
"JUP" 0.18850219 0.3708818 0.1694994 NA 1.8575904 0.552387 0.05681753 NA 0.28528666 0.20781386 0.18850219 NA
"OLFML3" 0.51356125 0.9769696 0.61808 NA NA 0.11943793 NA NA NA NA 0.10662377 NA
"RPS27A" 0.7538805 0.6519618 1.285599 NA NA 1.1877615 NA NA 0.26765192 0.6519618 0.6519618 0.30316675
"H2AC20" 0.86637974 0.64816236 0.86637974 0.40281367 NA 0.86637974 0.40281367 0.40281367 0.40281367 0.9010782 NA 0.40281367
"eeF1A2" NA 0.42232883 0.48936105 NA NA 0.18304157 0.24451458 0.24451458 NA NA NA NA
"IGFBP3" 1.2961485 1.0701413 1.77332 NA NA 0.3520726 NA 0.15345323 NA NA NA NA
"RPLP0" 0.599558 NA 0.6710906 NA 1.3014419 0.61435854 NA NA 0.12979591 0.5776112 1.0796967 0.62554884
"KRT79" 0.31825674 NA 0.35831344 NA 0.45881426 0.3273945 0.27938128 0.17760599 NA 0.31825674 0.35831344 0.36458313
"TUBB4B" 1.5882127 0.86208713 NA NA 1.4888573 0.4962356 NA NA 0.0519619 0.31522477 2.1695673 1.19786
"CTSL" 1.77332 2.4833732 2.250873 NA NA 0.101539254 0.16412604 0.22179961 NA NA 0.101539254 NA
"RNASe4" 1.6853445 1.6853445 1.6853445 NA NA 0.22461617 0.22461617 0.22461617 0.22461617 NA NA NA
"C1QA" 0.9010782 1.2080047 1.2961485 NA 0.29121923 0.12979591 0.20781386 0.20781386 NA 0.12979591 0.29121923 NA
"F11R" 0.2705741 0.12201846 0.12201846 NA 0.18576872 0.12201846 NA NA NA NA 0.12201846 NA
"APOC3" 0.4689263 0.4689263 0.4689263 NA 0.4689263 0.4689263 NA NA NA 0.4689263 0.69433784 0.4689263
"CDH1" 0.11173177 0.12979591 0.1561122 NA 0.08143401 0.11173177 NA NA 0.032761455 NA NA NA
"IGF2" 1.004472 0.9543395 1.1627185 NA 0.22743917 0.22743917 NA NA 0.22743917 NA NA NA
"KRT8" 0.40928876 0.47570658 0.30316675 NA 0.38675582 0.4927944 NA NA NA 0.29121923 0.29717934 0.42889392
"VCP" 0.1271975 0.1614486 0.059253693 NA 0.21898961 0.13762724 0.061695576 NA NA 0.552387 2.2284942 0.38038433
"HSPA1L" 0.62929606 0.57398295 0.45881426 NA 0.30918193 0.27643883 NA NA NA 0.12201846 0.25314116 0.28233063
"YWHAe" 0.55596566 0.48936105 0.9498446 NA 0.6595869 0.7179084 NA NA NA 0.62929606 0.7179084 0.55596566
"MAPRe2" 0.15080035 NA NA NA NA 0.15080035 NA NA NA NA 0.15080035 NA
"P62808" 0.89670587 1.1527817 0.89670587 NA 1.5882127 0.54881656 NA NA NA NA 0.54881656 0.31522477
"FN1" 0.15080035 0.1324004 0.096478224 NA 0.08893013 0.05681753 NA NA 0.018591404 0.044720173 0.6672472 0.032761455
"BPT2" 0.9054607 0.9054607 0.9054607 NA 0.3489629 0.3489629 NA NA 0.3489629 NA NA NA
"IGFBP2" 2.8370724 2.1477482 2.8370724 NA 0.35518944 0.38675582 0.8793168 0.41579378 0.23310483 NA 0.5703628 0.20781386
"CHI3L1" 0.3273945 0.27938128 0.18304157 NA 0.17489755 0.18304157 NA NA NA NA NA NA
"HSPA1A" 1.0276828 1.3067472 0.8492687 NA 0.81551564 0.39315677 NA NA NA 0.4996848 0.8071741 0.33659554
"SULT1e1" 0.90985334 0.4996848 0.47570658 NA 0.32434154 0.23594749 NA NA NA NA 0.7021586 0.31522477
"ANXA1" 0.7619761 0.2618276 0.40281367 NA 0.6904409 0.6368165 NA NA NA 0.33967674 0.35831344 0.2618276
"CLIC1" 0.8793168 0.67494285 1.3173947 NA 0.58124804 0.74180686 NA NA NA NA 1.0653801 0.29419577
"CPB2" 1.7101917 1.9040227 2.2960973 NA 0.7823788 0.38675582 0.31219995 0.15877736 0.15877736 0.28528666 1.1777098 0.64058983
"APOC4" 0.46217716 0.46217716 0.46217716 NA 0.72186863 1.5234809 NA NA NA 0.24165225 0.72186863 0.7864876
"HP" 0.2882495 0.3489629 0.35518944 NA 0.51356125 0.3489629 NA NA NA 0.41253757 0.22179961 0.14024973
"AHCY" 1.118361 0.99986184 0.8365383 NA 0.7139573 0.48251808 NA NA NA 0.37720942 1.133045 0.42232883
"NAP1L4" 0.2705741 0.32434154 0.18304157 NA 0.18850219 0.1324004 NA NA NA 0.18304157 0.27643883 0.29121923
"THBS4" 0.27938128 0.27938128 0.39315677 NA 0.18032062 0.11686325 0.101539254 0.1428783 0.1324004 0.037528396 0.17219532 0.037528396
"HSP90B1" 0.21059811 0.20503592 0.15080035 NA 0.29419577 0.05681753 NA NA NA NA 0.13762724 0.05681753
"CHIA" 0.7538805 0.8492687 0.8113401 NA 0.58124804 0.39315677 NA NA 0.12979591 0.46217716 0.6595869 0.86637974
"H1-3" 0.39636838 0.39636838 0.39636838 NA 0.40928876 NA NA NA NA NA NA NA
"ARG1" 0.61435854 0.20503592 0.30316675 NA 0.42889392 0.30316675 NA NA 0.32129562 0.20503592 0.13762724 0.13762724
"COL1A1" 0.1428783 0.15345323 0.27643883 NA 0.14024973 0.25314116 0.02093947 NA 0.02093947 0.3614447 0.34276497 0.33045447
"ANXA11" 0.15877736 0.101539254 0.04231739 NA 0.15877736 0.24451458 NA NA NA NA 0.1428783 0.07646525
"CDH5" 0.25892544 0.10917485 0.14024973 NA 0.14024973 0.096478224 NA NA 0.04712856 0.19674051 0.26765192 0.27643883
"CFH" 0.8836491 0.58854675 0.8071741 NA 0.11943793 0.11943793 0.04231739 0.13762724 0.43548942 NA 0.1694994 0.059253693
"HSPA1B" 1.0276828 1.3067472 0.8492687 NA 0.81551564 0.39315677 NA NA NA 0.4996848 0.8071741 0.33659554
"HABP2" 0.69433784 0.9054607 0.7538805 NA 0.16412604 0.13762724 NA NA 0.08143401 NA 0.3335215 0.08143401
"KRT17" 1.1086283 0.9906733 0.8238957 NA 1.2335722 1.1677041 NA NA NA 0.64058983 0.8407719 NA
"NAP1L1" 0.8793168 0.77010894 0.39958727 NA 0.48251808 0.55596566 NA NA NA 0.7179084 0.7619761 0.86637974
"PRDX6" 0.3614447 0.096478224 0.22743917 NA 0.4927944 0.22743917 NA NA NA 0.21618605 0.46217716 0.4321879
"PPIA" 2.1188898 1.8641782 2.8459177 NA 1.1928048 0.34276497 NA NA NA 0.2882495 1.3550494 0.2882495
"CATHL1" 0.68267405 0.26765192 0.68267405 NA 0.26765192 0.65576994 NA NA NA 0.26765192 1.19786 0.65576994
"FeRMT3" 0.92309177 0.8535316 0.8535316 NA 0.14815366 0.30617094 0.20503592 0.13762724 NA 0.17760599 0.39958727 0.1324004
"RAC1" 1.0796967 1.285599 1.6424088 NA 0.93196833 0.93196833 NA NA NA 0.3335215 0.55955243 0.1271975
"KRT10" 0.5100801 0.5275661 0.7660378 NA 0.64058983 0.5100801 NA NA 0.32434154 0.64058983 0.5100801 NA
"MYL6" 1.4603674 0.7579236 1.0183663 NA 0.21898961 0.37720942 NA NA NA 0.55596566 1.5351286 0.70608246
"HA1B" 0.47231245 0.09144032 0.18576872 NA 0.09144032 0.09144032 NA NA NA 0.09144032 NA NA
